id,title,author,year,type,framework,tags,desc,url,x_labor,y_labor,x_fiscal,y_fiscal
shumer,Something Big Is Happening,Matt Shumer,2026,single,,"REP, CONC",This is February 2020 for AI. CEO says he's no longer needed for technical work. 85M views. Personal testimony.,https://fortune.com/2026/02/09/something-big-is-happening-ai-matt-shumer/,-0.15,0.5,,
loving-grace,Machines of Loving Grace,Amodei,2024,single,,"Strong REP, DIFF (aspirational)",Country of geniuses in a datacenter. Strong replacement-level capability. Hopes for diffusion but depends on governance.,https://www.darioamodei.com/essay/machines-of-loving-grace,0.15,0.55,-0.1,
moores-law,Moore's Law for Everything,Altman,2021,single,,"Strong REP, DIFF (prescriptive)","AI replaces most labor, costs tend to zero. Default is concentrated; proposes American Equity Fund.",https://moores.samaltman.com/,0.32,0.62,-0.3,-0.15
citrini,The 2028 Intelligence Crisis,Citrini Research,2026,single,,"Strong REP, CONC","Fictional 2028: Ghost GDP, S&P down 38%, mass white-collar unemployment. Triggered 800-point Dow drop.",https://citriniresearch.substack.com/,-0.32,0.58,-0.7,-0.75
sit-awareness,Situational Awareness,Aschenbrenner,2024,single,,"Extreme REP, CONC","AGI by ~2027, superintelligence by decade's end. Trillion-dollar clusters. Government Project takes over.",https://situational-awareness.ai/,-0.5,0.68,-0.55,-0.5
ai-2027,AI 2027,"Kokotajlo, Alexander et al.",2025,single,,"Extreme REP, CONC","Superhuman AI by ~2027, intelligence explosion, one lab dominates. Most extreme replacement + concentration scenario.",https://ai-2027.com/,-0.4,0.7,-0.8,-0.8
toloui-prometheus,Promethean Fire,Toloui,2024,framework,"Toloui — Titans, Swarms","Strong AUG, DIFF",Fast-follower + labor-augmenting. Decentralized AI enhances human capability. Competition keeps prices low.,https://www.digitalistpapers.com/vol2/toloui,0.58,-0.55,0.55,0.5
toloui-copilot,Copilot Empire,Toloui,2024,framework,"Toloui — Titans, Swarms","Strong AUG, CONC",Winner-take-all + labor-augmenting. Few dominant platforms own the AI layer but humans remain essential.,https://www.digitalistpapers.com/vol2/toloui,-0.52,-0.5,0.05,0.15
toloui-swarm,Disruption Swarm,Toloui,2024,framework,"Toloui — Titans, Swarms","Strong REP, DIFF","Fast-follower + labor-replacing. Rapid diffusion, commoditization. Massive displacement but no single actor captures gains.",https://www.digitalistpapers.com/vol2/toloui,0.5,0.48,-0.35,-0.4
toloui-titans,Titan's Dominion,Toloui,2024,framework,"Toloui — Titans, Swarms","Strong REP, CONC",Winner-take-all + labor-replacing. Monopolistic control of broadly displacing technology. The worst quadrant.,https://www.digitalistpapers.com/vol2/toloui,-0.65,0.52,-0.7,-0.65
korinek-aug,AI Augments Workers,Korinek / IMF,2023,framework,Korinek / IMF,"Strong AUG, DIFF",AI makes workers more productive without replacing them. Standard productivity boost. Gains spread through labor markets.,https://www.imf.org/en/publications/fandd/issues/2023/12/scenario-planning-for-an-agi-future-anton-korinek,0.32,-0.45,0.45,0.4
korinek-agi,Full AGI Scenario,Korinek / IMF,2023,framework,Korinek / IMF,"Strong REP, CONC","AGI replaces most cognitive labor. Capital owners benefit enormously. Without redistribution, extreme inequality.",https://www.imf.org/en/publications/fandd/issues/2023/12/scenario-planning-for-an-agi-future-anton-korinek,-0.45,0.62,-0.6,-0.55
cfg-plateau,Plateau,CFG,2025,framework,CFG — Possible Futures,"Moderate AUG, DIFF","AI hits technical limits. Smaller, cheaper, local models. Open-source thrives. A bright winter.",https://cfg.eu/advanced-ai-possible-futures/,0.48,-0.42,0.25,0.2
cfg-central,Centralized Takeoff,CFG,2025,framework,CFG — Possible Futures,"Strong REP, CONC",Fast capability growth controlled by one dominant actor. Unprecedented power concentration. Maximum misalignment risk.,https://cfg.eu/advanced-ai-possible-futures/,-0.62,0.62,-0.75,-0.7
cfg-decentral,Decentralized Takeoff,CFG,2025,framework,CFG — Possible Futures,"Strong REP, DIFF",Fast capability growth across many actors. Open-weight models enable innovation but create misuse risks.,https://cfg.eu/advanced-ai-possible-futures/,0.42,0.55,-0.2,-0.3
dsit-steady,Steady Progress,DSIT,2024,framework,DSIT — AI 2030,"Moderate AUG, DIFF","AI improves steadily, adoption gradual. Existing institutions adapt. Most conservative official scenario.",https://www.gov.uk/government/publications/frontier-ai-capabilities-and-risks-discussion-paper/ai-2030-scenarios-report-html-annex-c,0.25,-0.32,0.3,0.25
dsit-rapid,Rapid Transformation,DSIT,2024,framework,DSIT — AI 2030,"Strong REP, CONC","Fast capability gains, significant displacement. Few dominant companies lead. Government struggles to keep pace.",https://www.gov.uk/government/publications/frontier-ai-capabilities-and-risks-discussion-paper/ai-2030-scenarios-report-html-annex-c,-0.38,0.42,-0.45,-0.4
