slug,title,category,url,summary,risk_horizon,governance,rate_of_disruption,who_it_affects,decision_maker,policy_category
entrepreneurship-small-business-support,Entrepreneurship & Small Business Support,labor-market-adaptation,https://windfalltrust.org/policy-atlas/entrepreneurship-small-business-support,Expanded pathways for displaced workers to start businesses or become self-employed.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Small Businesses|Workers,Legislators|Regulatory Agencies,Labor Market Adaptation|Labor Market Interventions
ai-literacy,AI Literacy Training,labor-market-adaptation,https://windfalltrust.org/policy-atlas/ai-literacy,Comprehensive AI literacy embedded across all education levels.,Near Term,National,Gradual,Workers,Legislators,Labor Market Adaptation|Formal Education
lifelong-learning-programs,Lifelong Learning Programs,labor-market-adaptation,https://windfalltrust.org/policy-atlas/lifelong-learning-programs,Continuous learning systems replacing traditional front-loaded education.,Near Term,National,Gradual,Workers,Legislators|Regulatory Agencies,Labor Market Adaptation|Formal Education
vocational-training-apprenticeships,Vocational Training & Apprenticeships,labor-market-adaptation,https://windfalltrust.org/policy-atlas/vocational-training-apprenticeships,Expanded technical education and apprenticeships for skilled trades resilient to automation.,Near Term,Subnational|National,Gradual|All Scenarios,Workers,Legislators,Labor Market Adaptation|Formal Education
token-taxes,Token Taxes,wealth-capture,https://windfalltrust.org/policy-atlas/token-taxes,Usage-based surcharges on AI model inference creating automatic revenue growth with AI adoption.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Households|Small Businesses|Firms|AI Developers,Legislators,Wealth Capture|Taxation Strategies
increased-corporate-taxation,Global Corporate Tax,wealth-capture,https://windfalltrust.org/policy-atlas/increased-corporate-taxation,Higher effective tax rates on the largest multinational enterprises through coordinated global frameworks.,Near Term|Medium Term|Long Term,National|International,Gradual|All Scenarios|Rapid,Firms|Global South|Public Institutions,Legislators|Multilateral Bodies,Wealth Capture|Taxation Strategies
wealth-taxes,Wealth Taxes,wealth-capture,https://windfalltrust.org/policy-atlas/wealth-taxes,An annual tax on accumulated net assets rather than income.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Households|Firms,Legislators|Multilateral Bodies,Wealth Capture|Taxation Strategies
consumption-taxes,Consumption Taxes,wealth-capture,https://windfalltrust.org/policy-atlas/consumption-taxes,Broad-based taxes on spending that maintain revenue as labor income declines.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios,Households|Firms,Legislators,Wealth Capture|Taxation Strategies
automation-robot-taxes,Automation/Robot Taxes,wealth-capture,https://windfalltrust.org/policy-atlas/automation-robot-taxes,Taxes that remove fiscal advantages for automation or directly levy AI and robotic deployment.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Workers|Firms,Legislators,Wealth Capture|Taxation Strategies
ai-equity-taxation,AI Equity Taxation,wealth-capture,https://windfalltrust.org/policy-atlas/ai-equity-taxation,"Taxes on AI companies paid via newly-issued equity stakes rather than cash, giving the public both dividend income and a governance voice in AI firms.",Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,AI Developers|Households,Legislators,Wealth Capture|Taxation Strategies
universal-basic-capital,Universal Basic Capital / Equity,wealth-capture,https://windfalltrust.org/policy-atlas/universal-basic-capital,Direct ownership stakes in AI infrastructure and the broader economy distributed to all citizens.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Households,Legislators,Wealth Capture|Restructuring AI Ownership Mechanisms
sovereign-wealth-funds,Sovereign Wealth Funds,wealth-capture,https://windfalltrust.org/policy-atlas/sovereign-wealth-funds,State-owned investment vehicles for AI infrastructure and upstream supply chains.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Households|Public Institutions,Legislators,Wealth Capture|Restructuring AI Ownership
data-compensation,Data Compensation,wealth-capture,https://windfalltrust.org/policy-atlas/data-compensation,Payments to individuals for the use of their data in training AI models.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Creators & IP Holders|Households|AI Developers,Legislators|Regulatory Agencies,Wealth Capture|Restructuring AI Ownership
windfall-clause,Windfall Clause,wealth-capture,https://windfalltrust.org/policy-atlas/windfall-clause,Voluntary commitments by AI firms to share profits above an extraordinary threshold.,Near Term|Medium Term|Long Term,National|International,Gradual|All Scenarios|Rapid,AI Developers|Global South,Private Actors,Wealth Capture|Restructuring AI Ownership
intellectual-property-reform,Intellectual Property Reform,wealth-capture,https://windfalltrust.org/policy-atlas/intellectual-property-reform,Adapted copyright and patent frameworks for AI training data and AI-generated outputs.,Near Term|Medium Term|Long Term,National|International,Gradual|All Scenarios|Rapid,Creators & IP Holders|AI Developers,Legislators|Courts,Legal & Regulatory Frameworks|Regulation & Market Design
regulatory-agencies,Regulatory Agencies,regulation-and-market-design,https://windfalltrust.org/policy-atlas/regulatory-agencies,Dedicated bodies with technical capacity to monitor high-risk AI systems.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,AI Developers|Workers,Legislators,Regulation & Market Design|Legal & Regulatory Frameworks
ai-liability,AI Liability,regulation-and-market-design,https://windfalltrust.org/policy-atlas/ai-liability,Legal frameworks assigning financial responsibility for AI-caused harms.,Near Term|Medium Term|Long Term,National|International,Gradual|All Scenarios|Rapid,AI Developers|Firms|Households,Legislators|Courts,Regulation & Market Design|Legal & Regulatory Frameworks
legal-economic-personhood,Legal Economic Personhood,regulation-and-market-design,https://windfalltrust.org/policy-atlas/legal-economic-personhood,Legal recognition of AI systems as taxable entities with financial obligations.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,AI Developers|Public Institutions,Legislators|Courts,Regulation & Market Design|Legal & Regulatory Frameworks
public-utility-regulation,Public Utility Regulation,regulation-and-market-design,https://windfalltrust.org/policy-atlas/public-utility-regulation,Common carrier and universal access obligations applied to AI infrastructure and services.,Near Term,Subnational|National|International,Gradual|All Scenarios|Rapid,AI Developers|AI Infrastructure Providers|Small Businesses,Regulatory Agencies|Legislators,Regulation & Market Design|Legal & Regulatory Frameworks
regulatory-market-frameworks,Regulatory Markets,regulation-and-market-design,https://windfalltrust.org/policy-atlas/regulatory-market-frameworks,Competitive markets of licensed private regulators selling compliance services to AI companies.,Near Term|Medium Term|Long Term,National|International,Gradual|All Scenarios|Rapid,AI Developers|Firms,Legislators|Regulatory Agencies,Regulation & Market Design|Legal & Regulatory Frameworks
fiscal-automatic-stabilizers,Fiscal Automatic Stabilizers,regulation-and-market-design,https://windfalltrust.org/policy-atlas/fiscal-automatic-stabilizers,Pre-legislated fiscal rules that activate automatically when economic indicators cross defined thresholds.,Near Term|Medium Term|Long Term,National,Gradual|All Scenarios|Rapid,Workers|Households|Public Institutions,Legislators,Regulation & Market Design|Macroeconomic Stabilization
monetary-policy-responses,Monetary Policy Responses,regulation-and-market-design,https://windfalltrust.org/policy-atlas/monetary-policy-responses,Adaptations to central bank frameworks to manage AI-driven disruptions to prices and employment.,Near Term|Medium Term|Long Term,National|International,Gradual|All Scenarios|Rapid,Households|Firms|Public Institutions,Regulatory Agencies,Regulation & Market Design|Macroeconomic Stabilization
antitrust-law,Antitrust Law,regulation-and-market-design,https://windfalltrust.org/policy-atlas/antitrust-law,Competition enforcement to prevent monopolistic control over essential AI infrastructure.,Near Term,National|International,Gradual|All Scenarios,AI Developers|Firms|AI Infrastructure Providers|Small Businesses,Regulatory Agencies|Courts,Regulation & Market Design|Competition & Corporate Governance
public-benefit-corporations,Public Benefit Corporations,regulation-and-market-design,https://windfalltrust.org/policy-atlas/public-benefit-corporations,Corporate structures requiring directors to balance societal benefit alongside shareholder returns.,Near Term|Medium Term|Long Term,Subnational|National,Gradual,AI Developers,Private Actors|Legislators,Regulation & Market Design|Competition & Corporate Governance
fiduciary-mandates,Fiduciary Mandates,regulation-and-market-design,https://windfalltrust.org/policy-atlas/fiduciary-mandates,Legal duties requiring AI developers to act in users' and society's interests.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,AI Developers|Households,Legislators|Regulatory Agencies,Regulation & Market Design|Competition & Corporate Governance
public-board-representation,Public Board Representation,regulation-and-market-design,https://windfalltrust.org/policy-atlas/public-board-representation,Reserved board seats at AI companies for workers or public interest representatives.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Workers|AI Developers,Legislators,Regulation & Market Design|Competition & Corporate Governance
public-ownership,Public Ownership,regulation-and-market-design,https://windfalltrust.org/policy-atlas/public-ownership,Non-controlling government equity stakes in AI companies and critical technology firms.,Near Term|Medium Term|Long Term,National|International,Gradual|All Scenarios|Rapid,AI Developers|Public Institutions,Legislators,Regulation & Market Design|Competition & Corporate Governance
government-procurement-policies,Procurement Policies,regulation-and-market-design,https://windfalltrust.org/policy-atlas/government-procurement-policies,Public purchasing rules that shape AI markets and attach public benefit obligations.,Near Term,National,Gradual|All Scenarios|Rapid,Public Institutions|Small Businesses,Legislators|Regulatory Agencies,Regulation & Market Design|Competition & Corporate Governance
public-private-partnerships,Public-Private Partnerships,regulation-and-market-design,https://windfalltrust.org/policy-atlas/public-private-partnerships,Structured government-private collaborations to co-finance and co-govern AI infrastructure.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Public Institutions|AI Developers,Legislators,Regulation & Market Design|Competition & Corporate Governance
benefit-sharing,Benefit-Sharing,regulation-and-market-design,https://windfalltrust.org/policy-atlas/benefit-sharing,International frameworks distributing AI's economic gains to lower-income countries.,Near Term|Medium Term|Long Term,International,Gradual|All Scenarios|Rapid,Global South|AI Developers|AI Infrastructure Providers,Multilateral Bodies,AI Governance|Equity and Development|International Cooperation
global-dividend-funds,Global Dividend Funds,global-coordination,https://windfalltrust.org/policy-atlas/global-dividend-funds,International mechanisms distributing AI-generated surplus as payments to individuals worldwide.,Near Term|Medium Term|Long Term,International,Gradual|All Scenarios|Rapid,Households|Global South,Multilateral Bodies,Benefit-Sharing|AI Governance|Wealth Redistribution
restructuring-international-organizations,Restructuring International Organizations,global-coordination,https://windfalltrust.org/policy-atlas/restructuring-international-organizations,New or reformed international bodies for AI governance and standard-setting.,Near Term,International,Gradual|All Scenarios|Rapid,Public Institutions|Global South,Multilateral Bodies,AI Governance|International Institutions|Economic Coordination
development-banks,Development Banks,global-coordination,https://windfalltrust.org/policy-atlas/development-banks,Multilateral development bank financing for AI infrastructure with benefit-sharing conditions attached.,Near Term,International,Gradual|All Scenarios,Global South|Public Institutions,Multilateral Bodies,Infrastructure Finance|AI Governance|International Development
national-dividend-funds,National Dividend Funds,public-and-social-investments,https://windfalltrust.org/policy-atlas/national-dividend-funds,Public ownership stakes whose profits are distributed as cash payments to all citizens.,Near Term|Medium Term|Long Term,National,Gradual|All Scenarios|Rapid,Households|Public Institutions,Legislators,Public & Social Investments|Redistribution
universal-basic-income,Universal Basic Income,public-and-social-investments,https://windfalltrust.org/policy-atlas/universal-basic-income,"Unconditional, regular cash payments to all citizens regardless of employment status.",Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Households,Legislators,Public and Social Investments|Redistribution Mechanisms
tax-credit-expansion,Tax Credit Expansion,public-and-social-investments,https://windfalltrust.org/policy-atlas/tax-credit-expansion,Scaling-up tax credit programs to reach a broader set of workers.,Near Term|Medium Term|Long Term,Subnational|National,Gradual|All Scenarios|Rapid,Households|Workers,Legislators,Public & Social Investments|Redistribution Mechanisms
